author,comment,changed files,lines added,lines deleted,msg_len,buggy
605,30,5,7532.0,695.0,33,0
605,97,2,17.0,0.0,65,0
89,0,1,4.0,0.0,69,0
89,84,1,2.0,2.0,66,0
89,97,1,2.0,2.0,54,0
89,97,1,12.0,11.0,60,0
89,97,1,2.0,2.0,58,0
89,97,2,8.0,8.0,59,0
344,105,0,0.0,0.0,59,0
475,110,1,1.0,0.0,40,0
189,97,20,212.0,21.0,42,0
221,97,1,2.0,2.0,55,0
438,97,1,1.0,2.0,53,0
438,0,12,94.0,71.0,76,0
438,0,10,48.0,43.0,61,0
438,0,7,94.0,140.0,67,0
438,0,11,201.0,196.0,52,0
438,48,14,206.0,135.0,55,0
438,1,3,42.0,35.0,95,0
438,0,6,106.0,35.0,60,0
438,30,1,69.0,21.0,84,0
525,30,1,6.0,0.0,43,0
244,84,3,298.0,61.0,41,0
181,30,3,96.0,3.0,69,0
436,30,4,96.0,7.0,63,0
366,103,1,16.0,0.0,31,0
40,97,3,26.0,12.0,58,0
291,84,4,4.0,4.0,30,0
128,84,1,4.0,1.0,70,0
513,84,3,294.0,224.0,61,0
65,84,1,6.0,3.0,69,0
375,97,14,36.0,30.0,70,0
375,97,7,21.0,2.0,58,0
438,105,6,40.0,52.0,46,0
311,97,2,37.0,0.0,39,0
438,0,5,32.0,10.0,48,0
438,66,3,35.0,32.0,77,0
438,0,6,5.0,14.0,48,0
344,105,0,0.0,0.0,61,0
241,84,3,15.0,26.0,43,0
533,81,1,3.0,1.0,59,0
438,0,3,44.0,38.0,59,0
438,0,3,21.0,16.0,65,0
148,0,14,351.0,349.0,42,0
438,84,3,14.0,15.0,52,1
438,0,6,45.0,42.0,70,1
438,0,9,180.0,223.0,77,1
438,98,2,65.0,19.0,48,0
311,97,5,5.0,0.0,46,0
510,84,2,2.0,2.0,43,0
428,84,1,2.0,1.0,60,0
6,0,1,53.0,0.0,44,0
6,84,6,12.0,150.0,54,0
328,84,4,30.0,0.0,59,0
475,97,1,19.0,15.0,55,0
538,84,1,3.0,1.0,63,0
428,84,1,1.0,1.0,60,0
44,1,13,37175.0,0.0,45,0
44,0,6,131.0,0.0,53,0
392,84,1,17.0,14.0,42,0
513,0,3,14.0,2.0,62,0
65,84,1,3.0,0.0,62,0
438,84,6,104.0,7.0,53,0
65,84,2,4.0,3.0,70,0
428,84,1,4.0,2.0,75,0
461,84,2,29.0,1.0,38,0
65,84,2,4.0,4.0,69,0
185,98,3,15.0,8.0,74,0
546,84,1,1.0,1.0,75,0
228,84,1,5.0,1.0,49,0
546,84,3,14.0,3.0,46,0
538,84,2,12.0,0.0,53,0
354,84,1,73.0,0.0,54,0
428,84,1,1.0,1.0,65,0
438,84,4,81.0,26.0,63,0
279,84,4,8.0,7.0,59,0
538,84,1,1.0,1.0,39,0
513,84,1,1.0,1.0,61,0
51,84,3,76.0,4.0,50,0
250,84,4,13.0,2.0,71,0
328,84,1,1.0,1.0,35,0
328,84,2,70.0,2.0,25,0
328,84,1,1.0,1.0,31,0
86,84,1,1.0,1.0,52,0
291,84,2,44.0,2.0,54,0
6,84,1,5.0,0.0,55,0
327,84,2,16.0,2.0,55,0
65,84,1,1.0,1.0,59,0
65,84,1,30.0,5.0,63,0
65,84,1,2.0,1.0,65,0
328,84,1,5.0,1.0,30,0
491,84,1,40.0,0.0,66,0
250,84,4,13.0,2.0,71,0
328,84,1,1.0,1.0,35,0
343,0,81,1001.0,642.0,46,0
328,84,1,1.0,1.0,31,0
291,84,2,44.0,2.0,54,0
6,84,1,5.0,0.0,55,0
327,84,2,16.0,0.0,54,0
328,84,1,2.0,2.0,35,0
328,84,2,70.0,2.0,25,0
327,84,2,16.0,7.0,55,0
439,84,1,13.0,6.0,45,0
327,84,1,1.0,0.0,62,0
597,84,3,17.0,11.0,39,0
597,30,1,1.0,0.0,47,0
279,21,1,2.0,2.0,63,0
597,84,1,2.0,1.0,50,0
597,84,1,3.0,1.0,44,0
535,84,1,9.0,3.0,52,0
