522d79e9f13,Odoo's Mergebot,Wed Mar 25 16:04:47 2020,force rebuild, ,,
e729af8dd9d,svs-odoo,Tue Mar 10 18:40:09 2020,[FIX] stock: don't validate WH/OUT/0005,   3 files changed, 17 insertions(+), 11 deletions(-) 
4cb21e1a95b,svs-odoo,Fri Mar 6 21:07:43 2020,[IMP] stock: add barcode for small refrigerator,   1 file changed, 1 insertion(+) ,
eaf62e948ad,jvm-odoo,Wed Mar 18 19:25:37 2020,[FIX] web: fix grouping content overlap,   1 file changed, 1 insertion(+), 1 deletion(-) 
5dda9a709eb,Luis González,Sun Mar 22 05:13:29 2020,"[FIX] web,mail: Harmful or incomplete aria-label attributes",   4 files changed, 8 insertions(+), 7 deletions(-) 
81f18bbc4d2,Patrick Hoste,Tue Mar 24 18:43:03 2020,[FIX] website_profile: fix edit profile issue,   2 files changed, 13 insertions(+), 4 deletions(-) 
328e55914f4,Luis González,Sun Mar 22 05:13:29 2020,"[FIX] web,mail: Harmful or incomplete aria-label attributes",   4 files changed, 8 insertions(+), 7 deletions(-) 
1c44aeb7d17,Goffin Simon,Wed Mar 25 15:27:39 2020,[FIX] product: Duplicating attribute,   1 file changed, 1 insertion(+), 1 deletion(-) 
13241c7a0eb,Arnold Moyaux,Wed Mar 25 15:24:44 2020,[FIX] mrp: stock.move with reference new,   1 file changed, 4 insertions(+), 2 deletions(-) 
cedfbd0379a,Jorge Pinna Puissant,Tue Mar 17 19:17:48 2020,[FIX] account: date of currency exchange reversal,   1 file changed, 5 insertions(+), 1 deletion(-) 
354c30cfd89,jvm-odoo,Wed Mar 25 15:25:17 2020,[FIX] web_editor: fix makeLayoutInfo,   1 file changed, 1 insertion(+), 1 deletion(-) 
52a98f74f30,jev-odoo,Fri Jan 31 19:34:26 2020,[FIX] account: More information when missing account,   1 file changed, 9 insertions(+), 3 deletions(-) 
aa618d7661b,Yannick Tivisse,Tue Mar 24 16:28:27 2020,[FIX] odoo_referral: Fix undeterministic crashing bug,   1 file changed, 3 insertions(+), 1 deletion(-) 
b66bcfe96df,Goffin Simon,Tue Mar 24 15:38:10 2020,[FIX] account: Printing invoices in multi companies/currencies,   1 file changed, 2 insertions(+), 2 deletions(-) 
e3c7f66e89d,Luis González,Sun Mar 22 05:13:29 2020,"[FIX] web,mail: Harmful or incomplete aria-label attributes",   4 files changed, 8 insertions(+), 7 deletions(-) 
2898dd4577e,jvm-odoo,Wed Mar 18 19:25:37 2020,[FIX] web: fix grouping content overlap,   1 file changed, 1 insertion(+), 1 deletion(-) 
92761b7877d,Nicolas Lempereur,Wed Mar 25 12:48:11 2020,[FIX] test_xlsx_export: no warning when install w/o test_impex,   1 file changed, 1 insertion(+) ,
7b1fed7949c,alt-odoo,Wed Mar 25 02:18:25 2020,[FIX] l10n_fr: broken module installation,   1 file changed, 2 insertions(+) ,
56715df691f,Jorge Pinna Puissant,Tue Mar 17 19:17:48 2020,[FIX] account: date of currency exchange reversal,   1 file changed, 4 insertions(+), 1 deletion(-) 
c01d282f25d,Andrea Grazioso (agr-odoo),Thu Mar 19 18:43:20 2020,"[FIX] account,web: specify viewID when redirecting",   1 file changed, 24 insertions(+), 8 deletions(-) 
0dc858923c8,Nicolas Lempereur,Tue Mar 24 17:21:32 2020,"[FIX] translate.py,web: aria-label qweb translation and export",   2 files changed, 2 insertions(+), 2 deletions(-) 
57283f213ee,lejeune quentin,Tue Mar 24 16:38:51 2020,[FIX] hw_posbox_homepage: Fix default server value in steps by steps wizard,   1 file changed, 1 insertion(+), 1 deletion(-) 
3b93e3a70a2,Luis González,Mon Mar 16 02:58:43 2020,[FIX] web: Add missing aria attributes to selectable menu items,   2 files changed, 5 insertions(+), 4 deletions(-) 
c4d2464133f,Jorge Pinna Puissant,Mon Mar 23 20:44:40 2020,[FIX] account: partner last_time_entries_checked not been updated,   1 file changed, 1 insertion(+), 1 deletion(-) 
f66b8d6503d,Odoo's Mergebot,Tue Mar 24 14:34:45 2020,force rebuild, ,,
e02f016743c,jvm-odoo,Tue Mar 17 12:35:40 2020,[FIX] web: fix no currency in calendar view,   3 files changed, 15 insertions(+), 2 deletions(-) 
d50eae4c76a,fw-bot,Tue Mar 3 21:17:36 2020,[FIX] account: Exclude journal entries from account.move.line,   1 file changed, 1 insertion(+), 1 deletion(-) 
4429d6dea41,Odoo Translation Bot,Sun Mar 22 07:34:01 2020,[I18N] Update translation terms from Transifex,   17 files changed, 96 insertions(+), 64 deletions(-) 
8670488d702,Swapnesh Shah,Sat Mar 21 23:24:53 2020,[FIX] odoo_referral: correct module category,   1 file changed, 1 insertion(+), 1 deletion(-) 
64c0b47c0e8,Luis González,Mon Mar 16 02:58:43 2020,[FIX] web: Add missing aria attributes to selectable menu items,   1 file changed, 2 insertions(+), 2 deletions(-) 
