5ca3488050b,Odoo's Mergebot,Thu Mar 26 00:37:51 2020,force rebuild, ,,
a1654e59b9a,Thibault Delavallée,Tue Mar 3 21:20:53 2020,[FIX] core: computed fields can be copied if editable,6,104,7
065b64934ac,Odoo's Mergebot,Wed Mar 25 23:05:53 2020,force rebuild, ,,
3efffa8a556,RVE-odoo,Fri Feb 21 20:20:31 2020,[FIX] website_slides: allow feedback update on review update,1,3,2
0be8235a615,RVE-odoo,Fri Feb 21 20:20:31 2020,[FIX] website_slides: allow feedback update on review update,1,3,2
eb65002bd0a,Odoo's Mergebot,Wed Mar 25 21:59:55 2020,force rebuild, ,,
466217ff6cc,Victor Feyens,Wed Mar 25 20:26:47 2020,[FIX] sale_stock: default warehouse_id,2,29,1
5eea6b278e8,jvm-odoo,Mon Mar 16 13:00:36 2020,[FIX] website_slides: fix undeletable question answer,1,5,
f2d04753be9,RVE-odoo,Fri Feb 21 20:20:31 2020,[FIX] website_slides: allow feedback update on review update,1,3,2
ca7f780ca7a,Swapnesh Shah,Fri Mar 6 22:41:24 2020,[FIX] website_event_track: fix kanban state position on form view,1,1,1
52ac7f2ddb5,Thibault Delavallée,Thu Feb 13 18:29:47 2020,[FIX] website(_crm): fix email and phone computation of visitor,4,81,26
306be2f5b51,Benjamin Vray,Thu Jan 30 15:50:25 2020,[FIX] website: fix height and position of carousel indicators controls,2,4,3
a2e5514b8a7,Swapnesh Shah,Sun Jan 26 21:05:18 2020,[FIX] product_email_template: use correct parameter for notification layout,1,4,2
95f30739a88,Benjamin Vray,Mon Feb 3 16:02:34 2020,[FIX] website: keep images order in gallery snippet with masonry mode,1,1,1
e48dbc36191,Odoo's Mergebot,Wed Mar 25 20:11:12 2020,force rebuild, ,,
fc7ec490438,Odoo's Mergebot,Wed Mar 25 20:10:37 2020,force rebuild, ,,
63c2478cc9f,Nicolas Lempereur,Fri Mar 20 16:46:57 2020,[FIX] base: cut multipage multi-documents on top heading,1,16,7
a96478037fe,Romain Estievenart,Mon Feb 24 17:23:45 2020,[FIX] web: mobile quick search view issues,5,30,14
ada2fbb88f7,Benjamin Vray,Thu Jan 30 15:50:25 2020,[FIX] website: fix height and position of carousel indicators controls,2,4,3
46246fe38dc,Odoo's Mergebot,Wed Mar 25 19:18:20 2020,force rebuild, ,,
e4ebd3e6e32,Helly kapatel,Fri Mar 13 15:11:47 2020,[IMP] hr_holidays: show the initial duration while the accrual is selected,3,15,8
ad69cc13d3f,lejeune quentin,Tue Mar 24 16:38:51 2020,[FIX] hw_posbox_homepage: Fix default server value in steps by steps wizard,1,1,1
2242a08f851,Jorge Pinna Puissant,Tue Mar 17 19:17:48 2020,[FIX] account: date of currency exchange reversal,1,5,1
2ddb3a23b85,lejeune quentin,Fri Mar 6 18:16:49 2020,[FIX] hw_posbox_homepage: Fix IoT auto-upgrade,3,14,3
ba50226035b,jvm-odoo,Wed Mar 25 15:25:17 2020,[FIX] web_editor: fix makeLayoutInfo,1,1,1
428d2dc3f86,lejeune quentin,Tue Mar 24 16:38:51 2020,[FIX] hw_posbox_homepage: Fix default server value in steps by steps wizard,1,1,1
077f58027e2,Swapnesh Shah,Sun Jan 26 21:05:18 2020,[FIX] product_email_template: use correct parameter for notification layout,1,4,2
e41e64baf8c,lejeune quentin,Fri Mar 6 18:16:49 2020,[FIX] hw_posbox_homepage: Fix IoT auto-upgrade,3,14,3
295782cafd6,jvm-odoo,Wed Mar 25 15:25:17 2020,[FIX] web_editor: fix makeLayoutInfo,1,1,1
d1282408d4f,Sébastien Theys,Wed Mar 25 16:52:02 2020,[FIX] test_mail: adapt query count,1,2,2
74df5cbaf37,Helly kapatel,Fri Mar 13 15:11:47 2020,[IMP] hr_holidays: show the initial duration while the accrual is selected,3,15,8
2106ecdecb6,lejeune quentin,Tue Mar 24 16:38:51 2020,[FIX] hw_posbox_homepage: Fix default server value in steps by steps wizard,1,1,1
b0dcbb92a8d,lejeune quentin,Fri Mar 6 18:16:49 2020,[FIX] hw_posbox_homepage: Fix IoT auto-upgrade,3,14,3
7b821560526,Nicolas Lempereur,Wed Mar 25 16:08:48 2020,[FIX] web: typo aria-label in forward-port #48295,1,1,1
36316c5af2a,Goffin Simon,Tue Mar 24 15:38:10 2020,[FIX] account: Printing invoices in multi companies/currencies,1,2,2
522d79e9f13,Odoo's Mergebot,Wed Mar 25 16:04:47 2020,force rebuild, ,,
e729af8dd9d,svs-odoo,Tue Mar 10 18:40:09 2020,[FIX] stock: don't validate WH/OUT/0005,3,17,11
4cb21e1a95b,svs-odoo,Fri Mar 6 21:07:43 2020,[IMP] stock: add barcode for small refrigerator,1,1,
eaf62e948ad,jvm-odoo,Wed Mar 18 19:25:37 2020,[FIX] web: fix grouping content overlap,1,1,1
5dda9a709eb,Luis González,Sun Mar 22 05:13:29 2020,"[FIX] web,mail: Harmful or incomplete aria-label attributes",4,8,7
81f18bbc4d2,Patrick Hoste,Tue Mar 24 18:43:03 2020,[FIX] website_profile: fix edit profile issue,2,13,4
328e55914f4,Luis González,Sun Mar 22 05:13:29 2020,"[FIX] web,mail: Harmful or incomplete aria-label attributes",4,8,7
1c44aeb7d17,Goffin Simon,Wed Mar 25 15:27:39 2020,[FIX] product: Duplicating attribute,1,1,1
13241c7a0eb,Arnold Moyaux,Wed Mar 25 15:24:44 2020,[FIX] mrp: stock.move with reference new,1,4,2
cedfbd0379a,Jorge Pinna Puissant,Tue Mar 17 19:17:48 2020,[FIX] account: date of currency exchange reversal,1,5,1
354c30cfd89,jvm-odoo,Wed Mar 25 15:25:17 2020,[FIX] web_editor: fix makeLayoutInfo,1,1,1
52a98f74f30,jev-odoo,Fri Jan 31 19:34:26 2020,[FIX] account: More information when missing account,1,9,3
aa618d7661b,Yannick Tivisse,Tue Mar 24 16:28:27 2020,[FIX] odoo_referral: Fix undeterministic crashing bug,1,3,1
b66bcfe96df,Goffin Simon,Tue Mar 24 15:38:10 2020,[FIX] account: Printing invoices in multi companies/currencies,1,2,2
e3c7f66e89d,Luis González,Sun Mar 22 05:13:29 2020,"[FIX] web,mail: Harmful or incomplete aria-label attributes",4,8,7
2898dd4577e,jvm-odoo,Wed Mar 18 19:25:37 2020,[FIX] web: fix grouping content overlap,1,1,1
92761b7877d,Nicolas Lempereur,Wed Mar 25 12:48:11 2020,[FIX] test_xlsx_export: no warning when install w/o test_impex,1,1,
7b1fed7949c,alt-odoo,Wed Mar 25 02:18:25 2020,[FIX] l10n_fr: broken module installation,1,2,
